Ticker,Name,Exchange,Last Trade Date
A,Agilent Technologies Inc.,NYSE,2015-11-20
AA,Alcoa Inc.,NYSE,2015-11-20
AA.P,Alcoa Inc. $3.75 pfd,NYSE MKT,2015-11-20
AA.P.B,AA.P.B,NYSE,2015-11-20
AAAP,Advanced Accelerator Applications SA,NASDAQ,2015-11-20
AAC,AAC Holdings Inc,NYSE,2015-11-20
AADR,WCM/BNY Mellon Focused Growth ADS ETF,NYSE Arca,2015-11-20
AAL,American Airlines Group Inc.,NASDAQ,2015-11-20
AAMC,Altisource Asset Management,NYSE MKT,2015-11-20
AAME,Atlantic American Corp.,NASDAQ,2015-11-20
AAN,Aaron's Inc.,NYSE,2015-11-20
AAOI,Applied Optoelectronics Inc,NASDAQ,2015-11-20
AAON,AAON Inc.,NASDAQ,2015-11-20
AAP,Advance Auto Parts Inc,NYSE,2015-11-20
AAPC,Atlantic Alliance Partnership Corp,NASDAQ,2015-11-19
AAPL,Apple Inc,NASDAQ,2015-11-20
AAT,American Assets Trust Inc.,NYSE,2015-11-20
AAU,Almaden Minerals Ltd.,NYSE MKT,2015-11-20
AAV,Advantage Oil & Gas Ltd.,NYSE,2015-11-20
AAVL,Avalanche Biotechnologies Inc.,NASDAQ,2015-11-20
AAWW,Atlas Air Worldwide Holdings NEW,NASDAQ,2015-11-20
AAXJ,iShares MSCI All Country Asia ex Japan Index Fund,NASDAQ,2015-11-20
AB,AllianceBernstein Holding L P Unit Ltd Partnership Interests,NYSE,2015-11-20
ABAC,Aoxin Tianli Group Inc,NASDAQ,2015-11-20
ABAX,Abaxis Inc.,NASDAQ,2015-11-20
ABB,ABB Ltd. ADS,NYSE,2015-11-20
ABBV,AbbVie Inc.,NYSE,2015-11-20
ABC,AmerisourceBergen Corp.,NYSE,2015-11-20
ABCB,Ameris Bancorp,NASDAQ,2015-11-20
ABCD,Cambium Learning Group Inc.,NASDAQ,2015-11-20
ABCO,Advisory Board Company,NASDAQ,2015-11-20
ABCW,Anchor BanCorp Wisconsin Inc (DE),NASDAQ,2015-11-20
ABDC,Alcentra Capital Corp,NASDAQ,2015-11-20
ABE,Aberdeen Emerging Markets Smaller Company Opportunities Fund Inc.,NYSE MKT,2015-11-20
ABEO,ABEO,NASDAQ,2015-11-20
ABEOW,ABEOW,NASDAQ,2015-11-20
ABEV,Ambev SA ADR (Sponsored),NYSE,2015-11-20
ABG,Asbury Automotive Group Inc.,NYSE,2015-11-20
ABGB,Abengoa S.A. ADR (Sponsored) Repstg Cl B Shs,NASDAQ,2015-11-20
ABIO,ARCA biopharma Inc.,NASDAQ,2015-11-20
ABM,ABM Industries Inc.,NYSE,2015-11-20
ABMD,ABIOMED Inc.,NASDAQ,2015-11-20
ABR,Arbor Realty Trust Inc,NYSE,2015-11-20
ABR.P.A,Arbor Realty Trust Inc Pfd Ser A%,NYSE,2015-11-19
ABR.P.B,Arbor Realty Trust Inc Cum Redeemable Pfd Ser B,NYSE,2015-11-20
ABR.P.C,Arbor Realty Trust Inc Cum Redeemable Pfd Ser C,NYSE,2015-11-20
ABRN,Arbor Realty Trust Inc 7.375% Sr Nts 2021,NYSE,2015-11-20
ABT,Abbott Laboratories,NYSE,2015-11-20
ABTL,Autobytel Inc.,NASDAQ,2015-11-20
ABTX,Allegiance Bancshares Inc,NASDAQ,2015-11-20
ABUS,Arbutus Biopharma Corp,NASDAQ,2015-11-20
ABX,Barrick Gold Corp.,NYSE,2015-11-20
ABY,Abengoa Yield Plc,NASDAQ,2015-11-20
AC.WD,Associated Capital Group Inc,NYSE,2015-11-19
ACAD,ACADIA Pharmaceuticals Inc.,NASDAQ,2015-11-20
ACAS,American Capital Ltd.,NASDAQ,2015-11-20
ACAT,Arctic Cat Inc,NASDAQ,2015-11-20
ACBI,Atlantic Capital Bancshares Inc.,NASDAQ,2015-11-20
ACC,American Campus Communities Inc,NYSE,2015-11-20
ACCO,ACCO Brands,NYSE,2015-11-20
ACE,ACE Ltd,NYSE,2015-11-20
ACET,Aceto Corp.,NASDAQ,2015-11-20
ACFC,Atlantic Coast Financial Corporation,NASDAQ,2015-11-20
ACG,AllianceBernstein Income Fund,NYSE,2015-11-20
ACGL,Arch Capital Group Ltd.,NASDAQ,2015-11-20
ACH,Aluminum Corporation of China ADS,NYSE,2015-11-20
ACHC,Acadia Healthcare Company Inc.,NASDAQ,2015-11-20
ACHN,Achillion Pharmaceuticals Inc.,NASDAQ,2015-11-20
ACI,Arch Coal Inc.,NYSE,2015-11-20
ACIM,SPDR MSCI ACWI IMI ETF,NYSE Arca,2015-11-20
ACIW,ACI Worldwide Inc,NASDAQ,2015-11-20
ACLS,Axcelis Technologies Inc.,NASDAQ,2015-11-20
ACM,AECOM,NYSE,2015-11-20
ACN,Accenture plc,NYSE,2015-11-20
ACNB,ACNB Corporation,NASDAQ,2015-11-20
ACOR,Acorda Therapeutics Inc.,NASDAQ,2015-11-20
ACP,Avenue Income Credit Strategies Fund,NYSE,2015-11-20
ACPW,Active Power Inc.,NASDAQ,2015-11-20
ACRE,Ares Commercial Real Estate Corp,NYSE,2015-11-20
ACRS,Aclaris Therapeutics Inc,NASDAQ,2015-11-20
ACRX,AcelRx Pharmaceuticals Inc.,NASDAQ,2015-11-20
ACSF,American Capital Senior Floating Ltd Com,NASDAQ,2015-11-20
ACST,Acasti Pharma Inc,NASDAQ,2015-11-20
ACTA,Actua Corp,NASDAQ,2015-11-20
ACTG,Acacia Research Corp.,NASDAQ,2015-11-20
ACTS,Actions Semiconductor Co Ltd ADR,NASDAQ,2015-11-20
ACTX,Global X Guru(TM) Activist ETF,NASDAQ,2015-11-19
ACU,Acme United Corp.,NYSE MKT,2015-11-20
ACUR,Acura Pharmaceuticals Inc.,NASDAQ,2015-11-20
ACV,AllianzGI Diversified Income & Convertible Fund Com,NYSE,2015-11-20
ACW,Accuride Corp.,NYSE,2015-11-20
ACWF,iShares Trust FactorSelect MSCI Global ETF,NYSE Arca,2015-11-20
ACWI,iShares MSCI ACWI Index Fund,NASDAQ,2015-11-20
ACWV,iShares MSCI All Country World Minimum Volatility Index Fund,NYSE Arca,2015-11-20
ACWX,iShares MSCI ACWI Ex US Index Fund,NASDAQ,2015-11-20
ACXM,Acxiom Corporation,NASDAQ,2015-11-20
ACY,Aerocentury Corp.,NYSE MKT,2015-11-20
ADAP,Adaptimmune Therapeutics PLC ADR (Sponsored),NASDAQ,2015-11-20
ADAT,Authentidate Holding Corp.,NASDAQ,2015-11-20
ADBE,Adobe Systems Incorporated,NASDAQ,2015-11-20
ADC,Agree Realty Corp.,NYSE,2015-11-20
ADEP,Adept Technology Inc.,NASDAQ,2015-10-23
ADGE,American DG Energy Inc.,NYSE MKT,2015-11-20
ADHD,Alcobra Ltd.,NASDAQ,2015-11-20
ADI,Analog Devices Inc.,NASDAQ,2015-11-20
ADK,AdCare Health Systems Inc.,NYSE MKT,2015-11-20
ADK.P.A,Adcare Health Systems Inc Pfd.,NYSE MKT,2015-11-20
ADM,Archer Daniels Midland Co.,NYSE,2015-11-20
ADMA,ADMA Biologics Inc,NASDAQ,2015-11-20
ADMP,ADAMIS PHARMS CO,NASDAQ,2015-11-20
ADMS,Adamas Pharmaceuticals Inc,NASDAQ,2015-11-20
ADP,Automatic Data Processing Inc.,NASDAQ,2015-11-20
ADPT,Adeptus Health Inc,NYSE,2015-11-20
ADRA,BLDRS Asia 50 ADR Index Fund,NASDAQ,2015-11-20
ADRD,BLDRS Developed Markets 100 ADR Index Fund,NASDAQ,2015-11-20
ADRE,BLDRS Emerging Markets 50 ADR Index Fund,NASDAQ,2015-11-20
ADRO,Aduro Biotech Inc,NASDAQ,2015-11-20
ADRU,BLDRS Europe 100 ADR Index Fund,NASDAQ,2015-11-20
ADS,Alliance Data Systems Corp.,NYSE,2015-11-20
ADSK,Autodesk Inc.,NASDAQ,2015-11-20
ADT,ADT Corp,NYSE,2015-11-20
ADTN,"Adtran, Inc.",NASDAQ,2015-11-20
ADUS,Addus HomeCare Corporation,NASDAQ,2015-11-20
ADX,Adams Express Co.,NYSE,2015-11-20
ADXS,Advaxis Inc.,NASDAQ,2015-11-20
ADXSW,Advaxis Inc. Wt Exp 07/15/2018,NASDAQ,2015-11-20
ADZ,DB Agriculture Short ETN,NYSE Arca,2015-11-19
AE,Adams Resources & Energy Inc.,NYSE MKT,2015-11-20
AEB,AEGON N.V. 6.2996% Floating Perpetual Capital Secs.,NYSE,2015-11-20
AED,AEGON N.V. 6.50% Perp Cap Secs,NYSE,2015-11-20
AEE,Ameren Corp.,NYSE,2015-11-20
AEG,Aegon N.V. ADS,NYSE,2015-11-20
AEGN,Aegion Corp,NASDAQ,2015-11-20
AEGR,Aegerion Pharmaceuticals Inc.,NASDAQ,2015-11-20
AEH,AEGON N.V. 6.375% Perp Cap Secs,NYSE,2015-11-20
AEHR,Aehr Test Systems,NASDAQ,2015-11-20
AEIS,Advanced Energy Industries Inc.,NASDAQ,2015-11-20
AEK,AEGON N.V. Non cum Sub Nts,NYSE,2015-11-20
AEL,American Equity Investment Life Holding Co.,NYSE,2015-11-20
AEM,Agnico Eagle Mines Ltd,NYSE,2015-11-20
AEMD,Aethlon Medical Inc,NASDAQ,2015-11-20
AEO,American Eagle Outfitters Inc.,NYSE,2015-11-20
AEP,American Electric Power Company,NYSE,2015-11-20
AEPI,AEP Industries Inc.,NASDAQ,2015-11-20
AER,AerCap Holdings N.V.,NYSE,2015-11-20
AERI,Aerie Pharmaceuticals Inc,NASDAQ,2015-11-20
AES,AES Corp.,NYSE,2015-11-20
AES.P.C,AES Trust III 6.75% Trust Conv. Pfd. Sec,NYSE,2015-11-20
AET,Aetna Inc.,NYSE,2015-11-20
AETI,American Electric Technologies Inc.,NASDAQ,2015-11-20
AEUA,Anadarko Petroleum Corp 7.50% Tangible Equity Unit,NYSE,2015-11-20
AEY,ADDvantage Technologies Group Inc.,NASDAQ,2015-11-20
AEZS,AEterna Zentaris Inc,NASDAQ,2015-11-20
AF,Astoria Financial Corp.,NYSE,2015-11-20
AF.P.C,Astoria Financial Corp,NYSE,2015-11-20
AFA,American Financial Group Inc 5.750% Sr Nt 08/25/2042,NYSE,2015-11-20
AFAM,Almost Family Inc,NASDAQ,2015-11-20
AFB,AllianceBernstein Nat Muni Inc Common,NYSE,2015-11-20
AFC,Allied Capital Corp. 6.875% Notes 2047,NYSE,2015-11-20
AFCB,Athens Bancshares Corp,NASDAQ,2015-11-20
AFCO,American Farmland Co,NYSE MKT,2015-11-20
AFFX,Affymetrix Inc.,NASDAQ,2015-11-20
AFG,American Financial Group Inc,NYSE,2015-11-20
AFGE,American Financial Group Inc 6.250% Sub Deb 09/30/2054,NYSE,2015-11-20
AFGH,American Financial Group Inc 6.000% Sub Deb 11/15/2055,NYSE,2015-11-20
AFH,Atlas Financial Holdings Inc.,NASDAQ,2015-11-20
AFK,Market Vectors® Africa ETF,NYSE Arca,2015-11-20
AFL,American Family Life Assurance Co. of Columbus,NYSE,2015-11-20
AFM,Affiliated Managers Group Inc. 5.250% Sr Nts due 10/15/2022,NYSE,2015-09-22
AFM.CL,Affiliated Managers Group Inc. 5.250% Sr Nts due 10/15/2022,NYSE,2015-10-21
AFMD,Affimed N.V.,NASDAQ,2015-11-20
AFOP,Alliance Fiber Optic Products Inc.,NASDAQ,2015-11-20
AFQ.CL,American Financial Group Inc 7.000% Sr Nt 09/30/2050,NYSE,2015-09-29
AFSD,American Family Life Assurance Co. of Columbus 5.50% Sub Deb due 09/15/2012,NYSE,2015-11-20
AFSI,AmTrust Financial Services Inc,NASDAQ,2015-11-20
AFSI.P.A,AmTrust Financial Services Inc 6.75% Non-Cum Pfd Ser A,NYSE,2015-11-20
AFSI.P.B,AmTrust Financial Services Inc Dep Shs Repstg 1/40th 7.25% Non-Cum Pfd Ser B,NYSE,2015-11-20
AFSI.P.C,AmTrust Financial Services Inc Depositary Shs Repstg 1/40th Pfd Ser C,NYSE,2015-11-20
AFSI.P.D,AmTrust Financial Services Inc Dep Shs Repstg 1/40th 7.5% Non-Cum Pfd Ser D,NYSE,2015-11-20
AFSS,AmTrust Financial Services Inc 7.250% Sub Nt 06/15/2055,NYSE,2015-11-20
AFST,AmTrust Financial Services Inc 7.50% Sub Note 09/15/2055,NYSE,2015-11-20
AFT,Apollo Senior Floating Rate Fund Inc.,NYSE,2015-11-20
AFTY,CSOP ETF Trust FTSE China A50 ETF,NYSE Arca,2015-11-20
AFW,American Financial Group Inc Sr Nt,NYSE,2015-11-20
AG,First Majestic Silver Corporation,NYSE,2015-11-20
AGA,DB Agriculture Double Short ETN,NYSE Arca,2015-11-18
AGC,Advent Claymore Cnvt Secs&Inc II,NYSE,2015-11-20
AGCO,AGCO Corp.,NYSE,2015-11-20
AGD,Alpine Global Dynamic Dividend Fund,NYSE,2015-11-20
AGEN,Agenus Inc.,NASDAQ,2015-11-20
AGF,DB Agriculture Long ETN,NYSE Arca,2015-11-19
AGFS,AGFS,NASDAQ,2015-11-20
AGFSW,AGFSW,NASDAQ,2015-11-20
AGG,iShares Barclays US Aggregate Bond Fund ETF,NYSE Arca,2015-11-20
AGGY,WisdomTree Trust Barclays US Aggregate Bd Enhanced Yield Fd,NYSE Arca,2015-11-18
AGI,Alamos Gold Inc (New),NYSE,2015-11-20
AGII,Argo Group International Holdings Ltd,NASDAQ,2015-11-20
AGIIL,Argo Group International Holdings Ltd 6.5% Senior Nt 2042,NASDAQ,2015-11-20
AGIO,Agios Pharmaceuticals Inc,NASDAQ,2015-11-20
AGM,Federal Agricultural Mortgage Corp,NYSE,2015-11-20
AGM.A,Federal Agricultural Mortgage Corp,NYSE,2015-11-13
AGM.P.A,Federal Agricultural Mortgage Corp 5.875% Non-Cum Pfd Ser A,NYSE,2015-11-20
AGM.P.B,Federal Agricultural Mortgage Corp Non-Cum Pfd Stk Ser B,NYSE,2015-11-20
AGM.P.C,Federal Agricultural Mortgage Corp 6.000% Pfd Ser C Fixed To Fltg,NYSE,2015-11-19
AGN,Allergan Inc.,NYSE,2015-11-20
AGN.P.A,Allergan PLC 5.5% Pfd Conv Ser A,NYSE,2015-11-20
AGNC,American Capital Agency Corp,NASDAQ,2015-11-20
AGNCB,American Capital Agency Corp Dep Shs Repstg 1/1000Th Pfd Ser B 7.75%,NASDAQ,2015-11-20
AGNCP,American Capital Agency Corp. Cumulative Preferred Series A,NASDAQ,2015-11-20
AGND,WisdomTree Barclays U.S. Aggregate Bond Negative D,NASDAQ,2015-11-20
AGO,Assured Guaranty Ltd,NYSE,2015-11-20
AGO.P.B,Assured Guaranty Municipal Holding Inc. 6.875% Quarterly Interest Bonds 2101,NYSE,2015-11-20
AGO.P.E,Assured Guaranty Municipal Holding Inc. 6.25% Notes 2102,NYSE,2015-11-20
AGO.P.F,Assured Guaranty Municipal Holding Inc. 5.60% Notes 2103,NYSE,2015-11-20
AGQ,ProShares Ultra Silver,NYSE Arca,2015-11-20
AGRO,Adecoagro SA,NYSE,2015-11-20
AGRX,Agile Therapeutics Inc,NASDAQ,2015-11-20
AGTC,Applied Genetic Technologies Corp,NASDAQ,2015-11-20
AGU,Agrium Inc.,NYSE,2015-11-20
AGX,Argan Inc.,NYSE,2015-11-20
AGYS,Agilysys Inc.,NASDAQ,2015-11-20
AGZ,iShares Agency Bond ETF,NYSE Arca,2015-11-20
AGZD,WisdomTree Barclays U.S. Aggregate Bond Zero Durat,NASDAQ,2015-11-20
AHC,A. H. Belo,NYSE,2015-11-20
AHGP,Alliance Holdings Group LP,NASDAQ,2015-11-20
AHH,Armada Hoffler Properties Inc,NYSE,2015-11-20
AHL,Aspen Insurance Holdings Ltd,NYSE,2015-11-20
AHL.P.A,Aspen Insurance Holdings Ltd 7.401% PERP Pfd Shs,NYSE,2015-11-20
AHL.P.B,Aspen Insurance Holdings Ltd 7.250% Perp Non-Cumulative Pfd Shs,NYSE,2015-11-20
AHL.P.C,Aspen Insurance Holdings Ltd 5.95% FXD/FLTG Non-Cum Pfd Shs,NYSE,2015-11-20
AHP,Ashford Hospitality Prime Inc,NYSE,2015-11-20
AHPI,Allied Healthcare Products Inc.,NASDAQ,2015-11-20
AHS,AMN Healthcare Services Inc.,NYSE,2015-11-20
AHT,Ashford Hospitality Trust Inc.,NYSE,2015-11-20
AHT.P.A,Ashford Hospitality Trust 8.55% Cum. Pfd. Series A,NYSE,2015-11-20
AHT.P.D,Ashford Hospitality Trust Inc. 8.45% Cum. Pfd. Series D,NYSE,2015-11-20
AHT.P.E,Ashford Hospitality Trust Inc. 9.000% Cum. Pfd. Series E,NYSE,2015-11-20
AI,Arlington Asset Investment Cor,NYSE,2015-11-20
AIA,iShares Asia 50 ETF,NYSE Arca,2015-11-20
AIB,Apollo Investment Corp Pfd.,NYSE,2015-11-20
AIC,Arlington Asset Investment Corp 6.750% Sr Nt 03/15/2025,NYSE,2015-11-20
AIF,Apollo Credit Fund Inc,NYSE,2015-11-20
AIG,American International Group Inc.,NYSE,2015-11-20
AIG.WS,American International Group Inc. Wt Wi,NYSE,2015-11-20
AIII,Roberts Realty Investors Inc.,NYSE MKT,2015-11-20
AIMC,Altra Industrial Motion Corp,NASDAQ,2015-11-20
AIMT,Aimmune Therapeutics Inc,NASDAQ,2015-11-20
AIN,Albany International Corp. Cl A,NYSE,2015-11-20
AINC,American Income Life Ins Co,NYSE MKT,2015-11-20
AINV,Apollo Investment Corp,NASDAQ,2015-11-20
AIQ,Alliance HealthCare Services Inc.,NASDAQ,2015-11-20
AIR,AAR Corp,NYSE,2015-11-20
AIRI,Air Industries Group,NYSE MKT,2015-11-20
AIRM,Air Methods Corporation,NASDAQ,2015-11-20
AIRR,First Trust RBA American Industrial Renaissance ET,NASDAQ,2015-11-20
AIRT,Air T Inc,NASDAQ,2015-11-20
AIT,Applied Industrial Technologies Inc.,NYSE,2015-11-20
AIV,Apartment Investment & Management Co.,NYSE,2015-11-20
AIV.P.A,Apartment Investment & Management Co. 6.875% Cl A Cum Pfd,NYSE,2015-11-20
AIV.P.Z,Apartment Investment and  Management Co Pfd.,NYSE,2015-11-20
AIW,Arlington Asset Investment Corp 6.625% Sr Nt Due 2023,NYSE,2015-11-20
AIXG,Aixtron SE,NASDAQ,2015-11-20
AIY,Apollo Investment Corp Pfd.,NYSE,2015-11-20
AIZ,Assurant Inc.,NYSE,2015-11-20
AJG,Gallagher (Arthur J.) & Co.,NYSE,2015-11-20
AJRD,AJRD,NYSE,2015-11-20
AJX,Great Ajax Corp,NYSE,2015-11-20
AKAM,Akamai Technologies Inc.,NASDAQ,2015-11-20
AKAO,Achaogen Inc,NASDAQ,2015-11-20
AKBA,Akebia Therapeutics Inc ,NASDAQ,2015-11-20
AKER,Akers Biosciences Inc. ,NASDAQ,2015-11-20
AKG,Asanko Gold,NYSE MKT,2015-11-20
AKO.A,Embotelladora Andina S.A. ADR (Sponsored) repr Ser A Shs,NYSE,2015-11-20
AKO.B,Embotelladora Andina S.A. ADR (Sponsored) repr Ser B Shs,NYSE,2015-11-20
AKP,Alliance California Municipal Income Fund Inc.,NYSE,2015-11-20
AKR,Acadia Realty Trust,NYSE,2015-11-20
AKRX,Akorn Inc.,NASDAQ,2015-11-20
AKS,AK Steel Holding,NYSE,2015-11-20
AKTX,Celsus Therapeutics PLC,NASDAQ,2015-11-20
AL,Air Lease Corp,NYSE,2015-11-20
ALB,Albemarle Corp.,NYSE,2015-11-20
ALCO,Alico Inc.,NASDAQ,2015-11-20
ALD,WisdomTree Asia Local Debt Fund,NYSE Arca,2015-11-20
ALDR,Alder Biopharmaceuticals Inc,NASDAQ,2015-11-20
ALDW,Alon USA Partners,NYSE,2015-11-20
ALDX,Aldeyra Therapeutics Inc,NASDAQ,2015-11-20
ALE,Allete Inc.,NYSE,2015-11-20
ALEX,Alexander & Baldwin Inc.,NYSE,2015-11-20
ALFA,Alphaclone Alternative Alpha Etf,NYSE Arca,2015-11-20
ALFI,ETF Series Solutions AlphaClone Intl ETF,NYSE Arca,2015-11-20
ALG,Alamo Group Inc.,NYSE,2015-11-20
ALGN,Align Technology Inc.,NASDAQ,2015-11-20
ALGT,Allegiant Travel Company,NASDAQ,2015-11-20
ALIM,Alimera Sciences Inc.,NASDAQ,2015-11-20
ALJ,Alon USA Energy Inc.,NYSE,2015-11-20
ALK,Alaska Air Group Inc.,NYSE,2015-11-20
ALKS,Alkermes plc,NASDAQ,2015-11-20
ALL,Allstate Corp.,NYSE,2015-11-20
ALL.P.A,Allstate Corp. Dep Shs Repstg 1/1000th Fixed Rate Non-Cum Perp Pfd Ser A,NYSE,2015-11-20
ALL.P.B,Allstate Corp Pfd.,NYSE,2015-11-20
ALL.P.C,Allstate Corp. Dep Shs Repstg 1/1000th Int Shs Ptf Stk Ser C,NYSE,2015-11-20
ALL.P.D,Allstate Corp. Each Repstg A 1/1000th Int In A Sh Of Fixed Rate Non-Cum Perp Pfd Stk Ser D,NYSE,2015-11-20
ALL.P.E,Allstate Corp. Dep Sh Repstg 1/100th Perp Pfd Ser E,NYSE,2015-11-20
ALL.P.F,Allstate Corp. Leopards Dep Shs Repstg 1/1000th Fixed Rate Non Cum Perp Pfd Ser F,NYSE,2015-11-20
ALLB,Alliance Bancorp Inc (PA),NASDAQ,2015-10-09
ALLE,Allegion plc,NYSE,2015-11-20
ALLT,Allot Communications Ltd.,NASDAQ,2015-11-20
ALLY,Ally Financial Inc,NYSE,2015-11-20
ALLY.P.A,GMAC Capital Trust I Gtd Tr Pfd Secs Ser 2 Fixed / Fltg,NYSE,2015-11-20
ALLY.P.B,Ally Financial Inc Perp Pfd Fixed/Fltg Rate Ser A,NYSE,2015-11-20
ALN,American Lorain Corp,NYSE MKT,2015-11-20
ALNY,Alnylam Pharmaceuticals Inc.,NASDAQ,2015-11-20
ALOG,Analogic Corporation,NASDAQ,2015-11-20
ALOT,Astro-Med Inc.,NASDAQ,2015-11-19
ALP.P.O,Alabama Power Co. 5.83% Cl A pfd,NYSE,2015-11-20
ALQA,Alliqua BioMedical Inc,NASDAQ,2015-11-20
ALR,Alere,NYSE,2015-11-20
ALR.P.B,Alere Conv. Perp. Pfd. Series B,NYSE,2015-11-20
ALRM,Alarm.com Holdings Inc,NASDAQ,2015-11-20
ALSK,Alaska Communications Systems Group Inc.,NASDAQ,2015-11-20
ALSN,Allison Transmission Holdings Inc,NYSE,2015-11-20
ALTR,Altera Corp.,NASDAQ,2015-11-20
ALTS,ProShares Trust Morningstar Alternatives Solution ETF,NYSE Arca,2015-11-20
ALTV,Alteva,NYSE MKT,2015-11-20
ALTY,Global X Funds SuperDividend Alternatives ETF,NASDAQ,2015-11-20
ALU,Alcatel-Lucent ADR (Sponsored),NYSE,2015-11-20
ALV,Autoliv Inc.,NYSE,2015-11-20
ALX,Alexander's Inc.,NYSE,2015-11-20
ALXA,Alexza Pharmaceuticals Inc,NASDAQ,2015-11-20
ALXN,Alexion Pharmaceuticals Inc.,NASDAQ,2015-11-20
AM,Antero Midstream Partners LP Unit Ltd Partnership Int,NYSE,2015-11-20
AMAG,AMAG Pharmaceuticals Inc.,NASDAQ,2015-11-20
AMAT,Applied Materials Inc.,NASDAQ,2015-11-20
AMBA,Ambarella Inc.,NASDAQ,2015-11-20
AMBC,Ambac Financial Group Inc.,NASDAQ,2015-11-20
AMBCW,Ambac Financial Group Inc. Warrants,NASDAQ,2015-11-19
AMBR,Amber Road Inc,NYSE,2015-11-20
AMC,AMC Entertainment Holdings Inc.,NYSE,2015-11-20
AMCC,Applied Micro Circuits Corporation,NASDAQ,2015-11-20
AMCN,AirMedia Group Inc,NASDAQ,2015-11-20
AMCO,Armco Metals Holdings,NYSE MKT,2015-11-20
AMCX,AMC Networks Inc.,NASDAQ,2015-11-20
AMD,Advanced Micro Devices Inc.,NYSE,2015-11-20
AMDA,Amedica Corp,NASDAQ,2015-11-20
AME,AMETEK Inc.,NYSE,2015-11-20
AMED,Amedisys Inc,NASDAQ,2015-11-20
AMFW,AMEC Foster Wheeler PLC,NYSE,2015-11-20
AMG,Affiliated Managers Group Inc.,NYSE,2015-11-20
AMGN,Amgen Inc,NASDAQ,2015-11-20
AMH,American Homes 4 Rent,NYSE,2015-11-20
AMH.P.A,American Homes 4 Rent 5.000% Ser A Part Pfd Shs,NYSE,2015-11-20
AMH.P.B,American Homes 4 Rent 5% Part Pfd Shs Ben Int Ser B,NYSE,2015-11-20
AMH.P.C,American Homes 4 Rent 5.500% Ser C Participating Pfd,NYSE,2015-11-20
AMIC,American Independence Corp,NASDAQ,2015-11-20
AMID,American Midstream Partners LP Com Units Repstg Ltd Partner Int,NYSE,2015-11-20
AMJ,JPMorgan Alerian MLP ETN,NYSE Arca,2015-11-20
AMKR,Amkor Technology Inc.,NASDAQ,2015-11-20
AMLP,Alerian MLP ETF,NYSE Arca,2015-11-20
AMNB,American National Bankshares Inc. (Danville VA),NASDAQ,2015-11-20
AMOT,Allied Motion Technologies Inc,NASDAQ,2015-11-20
AMOV,America Movil S.A.B. de C.V. ADR (Sponsored) Repstg Ser A,NASDAQ,2015-11-20
AMP,Ameriprise Financial Inc,NYSE,2015-11-20
AMPE,Ampio Pharmaceuticals Inc.,NYSE MKT,2015-11-20
AMPH,Amphastar Pharmaceuticals Inc (DE),NASDAQ,2015-11-20
AMRB,American River Bankshares,NASDAQ,2015-11-20
AMRC,Ameresco,NYSE,2015-11-20
AMRI,Albany Molecular Research Inc.,NASDAQ,2015-11-20
AMRK,A-Mark Precious Metals Inc,NASDAQ,2015-11-20
AMRN,Amarin Corporation plc,NASDAQ,2015-11-20
AMRS,Amyris Inc.,NASDAQ,2015-11-20
AMS,American Shared Hospital Services,NYSE MKT,2015-11-20
AMSC,American Superconductor Corp.,NASDAQ,2015-11-20
AMSF,Amerisafe Inc,NASDAQ,2015-11-20
AMSG,Amsurg Corp.,NASDAQ,2015-11-20
AMSGP,Amsurg Corp 5.25% Mand Conv Pfd Ser A-1,NASDAQ,2015-11-20
AMSWA,American Software Inc,NASDAQ,2015-11-20
AMT,American Tower Corp,NYSE,2015-11-20
AMT.P.A,American Tower Corp (New) 5.25% Pfd Conv Ser A,NYSE,2015-11-20
AMT.P.B,American Tower Corp (New) Dep Shs Repstg 1/10th Int Mandatory Pfd Conv Ser B 5.50%,NYSE,2015-11-20
AMTD,TD Ameritrade Holding Corp,NYSE,2015-11-20
AMTG,Apollo Residential Mortgage,NYSE,2015-11-20
AMTG.P.A,Apollo Residential Mortgage Inc Pfd.,NYSE,2015-11-20
AMTX,Aemetis Inc,NASDAQ,2015-11-20
AMU,UBS AG,NYSE Arca,2015-11-20
AMUB,AMUB,NYSE Arca,2015-11-06
AMWD,American Woodmark Corporation,NASDAQ,2015-11-20
AMX,America Movil S.A.B. de C.V. ADR Sponsored Repstg Ser L Shs,NYSE,2015-11-20
AMZA,ETFis Series Trust I InfraCap MLP ETF,NYSE Arca,2015-11-20
AMZN,Amazon.com Inc.,NASDAQ,2015-11-20
AN,AutoNation Inc.,NYSE,2015-11-20
ANAC,Anacor Pharmaceuticals Inc.,NASDAQ,2015-11-20
ANAD,ANADIGICS Inc.,NASDAQ,2015-11-20
ANAT,American National Insurance Co. (Galveston TX),NASDAQ,2015-11-20
ANCB,Anchor Bancorp,NASDAQ,2015-11-20
ANCX,Access National Corp,NASDAQ,2015-11-20
AND,Global X FTSE Andean 40 ETF,NYSE Arca,2015-11-20
ANDE,Andersons Inc.,NASDAQ,2015-11-20
ANET,Arista Networks Inc,NYSE,2015-11-20
ANF,Abercrombie & Fitch Co.,NYSE,2015-11-20
ANFI,Amira Nature Foods,NYSE,2015-11-20
ANGI,Angie's List Inc.,NASDAQ,2015-11-20
ANGL,Market Vectors Fallen Angel High Yield Bond ETF,NYSE Arca,2015-11-20
